user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes,vi,in,en,ja,und,zh,ko,es,pt,tr,ht,de,fr,fa,ar,th,nl,it,bn,hi
TnNguynNgc12,vi,#bot,1406983013095776259,0.92,0.14,0.92,0.34,0.74,0.92,0.13,0.21,0.9521998176937949,0.013331759362568507,0.019249843307807293,0.1247813854459737,0.00013224151433064097,0.0001804660169077148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PienaNashetania,in,#bot,4586856613,1.0,0.01,0.45,0.125125,1.0,1.0,0.99,0.49,0.952192405590303,0.0006412629277289561,0.01059124336371864,7.603984487871645e-05,0.00011157877771647833,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inthreek,en,#bot,1516297345,0.83,0.02,0.68,0.16,0.75,0.83,0.83,0.51,0.9494434614207898,0.0006412629277289561,0.01574198061484612,0.0017489164322104782,0.00011157877771647833,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a_kitsumaru,ja,#bot,2158721414,0.97,0.0,0.61,0.07,0.91,0.97,0.97,0.7,0.9529706764569514,0.0023793609385043546,0.04351000723783896,0.00038019922439358223,2.4795283936995185e-05,0.00025484728063319186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cephalopodluke2,en,#bot,983177740965773312,0.8,0.71,0.7,0.54,0.8,0.8,0.3,0.19,0.9531331119164546,0.015950811159627327,0.16385982335588084,0.1803665120523154,0.00370689494858078,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErzaOfFairyTail,en,#bot,838182517,0.8,0.22,0.76,0.13,0.8,0.8,0.71,0.57,0.9529823465773429,0.004760317117648735,0.11905798313213332,0.18625960003041594,0.008506848664050765,3.658094937318543e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himeka_s,ja,#bot,1065120397,0.96,0.0,0.45,0.01,0.96,0.96,0.9,0.72,0.9529818734643541,0.004284125881819859,0.11684322993988892,0.010113299368869287,0.0006570750243303724,5.609078903888433e-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long123475,vi,#bot,1154918356320788481,0.92,0.01,0.75,0.36,0.92,0.92,0.28,0.23,0.9424801844509839,0.0010936446017663886,0.004758847205007002,0.007527944642992928,5.5789388858239165e-05,6.096824895530905e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xPirateCoveFox,en,#bot,3243767972,0.92,0.05,0.59,0.16,0.92,0.92,0.91,0.65,0.9530164107125397,0.0017841218937182594,0.031417582459665326,0.0014827769751349707,0.0005868217198422193,1.5851744728380355e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fabricsarts,ja,#bot,1187889491949670404,0.93,0.02,0.26,0.03,0.93,0.93,0.92,0.81,0.7909816779109854,0.0012126924107236077,0.01136481133749392,7.603984487871645e-05,1.0331368307081327e-05,0.00022924061607196205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
