user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes
TnNguynNgc12,vi,#bot,1406983013095776259,0.92,0.14,0.92,0.34,0.74,0.92,0.13,0.21,Fri Dec 10 21:01:59 +0000 2021,560,15081,3282,64,148
PienaNashetania,in,#bot,4586856613,1.0,0.01,0.45,0.125125,1.0,1.0,0.99,0.49,Fri Dec 10 21:01:12 +0000 2021,27,8298,2,54,0
inthreek,en,#bot,1516297345,0.83,0.02,0.68,0.16,0.75,0.83,0.83,0.51,Fri Dec 10 16:10:41 +0000 2021,27,12333,46,54,0
a_kitsumaru,ja,#bot,2158721414,0.97,0.0,0.61,0.07,0.91,0.97,0.97,0.7,Fri Dec 10 22:23:27 +0000 2021,100,34086,10,12,209
cephalopodluke2,en,#bot,983177740965773312,0.8,0.71,0.7,0.54,0.8,0.8,0.3,0.19,Fri Dec 10 22:40:37 +0000 2021,670,128366,4744,1794,0
ErzaOfFairyTail,en,#bot,838182517,0.8,0.22,0.76,0.13,0.8,0.8,0.71,0.57,Fri Dec 10 22:24:41 +0000 2021,200,93269,4899,4117,30
himeka_s,ja,#bot,1065120397,0.96,0.0,0.45,0.01,0.96,0.96,0.9,0.72,Fri Dec 10 22:24:38 +0000 2021,180,91534,266,318,46
Long123475,vi,#bot,1154918356320788481,0.92,0.01,0.75,0.36,0.92,0.92,0.28,0.23,Fri Dec 10 03:54:47 +0000 2021,46,3729,198,27,5
xPirateCoveFox,en,#bot,3243767972,0.92,0.05,0.59,0.16,0.92,0.92,0.91,0.65,Fri Dec 10 22:28:17 +0000 2021,75,24613,39,284,13
fabricsarts,ja,#bot,1187889491949670404,0.93,0.02,0.26,0.03,0.93,0.93,0.92,0.81,Mon Nov 29 01:03:58 +0000 2021,51,8904,2,5,188
Aska_Eva02,ja,#bot,618872117,0.95,0.12,0.54,0.06,0.95,0.95,0.89,0.52,Fri Dec 10 14:18:59 +0000 2021,39,19321,264,521,9
IbaraMayaka_AR,en,#bot,1334120898,0.85,0.11,0.77,0.35,0.85,0.85,0.82,0.68,Fri Dec 10 21:28:56 +0000 2021,39,14894,37,76,1
P_KO_jintai,ja,#bot,602086277,0.99,0.08,0.28,0.06,0.99,0.99,0.96,0.77,Fri Dec 10 19:18:46 +0000 2021,24,12888,75,106,0
Swat33662057,vi,#bot,1265897937638309891,0.94,0.02,0.94,0.51,0.83,0.94,0.07,0.22,Fri Dec 10 10:41:15 +0000 2021,73,1965,480,14,1696
Khanh19872677,vi,#bot,1222181880251863041,0.84,0.03,0.82,0.38,0.84,0.84,0.17,0.3,Fri Dec 10 05:00:49 +0000 2021,6.0,401,79,3,23
Ho50290170,und,#bot,1416693810210349056,0.98,0.05,0.98,0.32,0.9,0.98,0.24,0.37,Fri Dec 10 16:18:30 +0000 2021,11,301,1844,61,2
Mahmudu21176197,en,#bot,1452576377937403912,0.72,0.18,0.51,0.08,0.72,0.72,0.08,0.34,Fri Dec 10 12:12:28 +0000 2021,18,121,91,20,18
Ace32165,zh,#bot,912291524871725056,0.95,0.08,0.91,0.28,0.95,0.95,0.2,0.21,Fri Dec 10 21:40:25 +0000 2021,110,8132,1058,86,4197
URP_shisui,in,#bot,1376479838,0.99,0.0,0.58,0.01,0.99,0.99,0.97,0.69,Fri Dec 10 23:02:19 +0000 2021,120,76327,35,78,50
letterchars,und,#bot,881037105308123136,0.94,0.01,0.43,0.07,0.94,0.94,0.73,0.61,Fri Dec 10 19:00:49 +0000 2021,27,3992,24,6,0
SportSatu_,in,#bot,2372565053,0.99,0.0,0.44,0.01,0.99,0.99,0.96,0.49,Fri Dec 10 22:01:08 +0000 2021,67,25923,6,49,0
